fold,week,policy,supply,units_fulfilled,units_demanded,fill_rate,revenue_fulfilled,stockout_nodes,policy_label,week_label
backtest_2,1,lp_scenario,108902.34761858982,108120.36463902038,126906.0,0.851972047334408,369352.168628121,24,Scenario LP,backtest_2 · week 1
backtest_2,1,pro_rata,108902.34761858982,108902.34761858982,126906.0,0.8581339544118467,362553.1305232221,28,Pro-rata,backtest_2 · week 1
backtest_2,2,lp_scenario,107941.88173394087,106522.92592057145,125337.0,0.849892098267642,363079.5865769585,19,Scenario LP,backtest_2 · week 2
backtest_2,2,pro_rata,107941.88173394087,107836.23251935924,125337.0,0.860370301821164,358696.35670658795,26,Pro-rata,backtest_2 · week 2
backtest_2,3,lp_scenario,107067.27414436702,103019.91310057696,115897.0,0.8888919739128447,349573.9027822142,16,Scenario LP,backtest_2 · week 3
backtest_2,3,pro_rata,107067.27414436702,105401.24899658206,115897.0,0.9094389759578079,349346.19272876147,20,Pro-rata,backtest_2 · week 3
backtest_2,4,lp_scenario,105414.40090498656,103437.15433618329,126268.0,0.8191873977269244,352419.8950685783,19,Scenario LP,backtest_2 · week 4
backtest_2,4,pro_rata,105414.40090498656,105263.19230239878,126268.0,0.8336490029334335,349994.5726935605,26,Pro-rata,backtest_2 · week 4
backtest_3,1,lp_scenario,111779.80936866587,110844.52179975153,126424.0,0.8767680329664583,377468.45208850736,20,Scenario LP,backtest_3 · week 1
backtest_3,1,pro_rata,111779.80936866587,111012.80244796349,126424.0,0.8780991144716469,368368.12969883345,23,Pro-rata,backtest_3 · week 1
backtest_3,2,lp_scenario,113037.0735981518,111815.99060950697,130943.0,0.8539287370039405,379703.2436334257,21,Scenario LP,backtest_3 · week 2
backtest_3,2,pro_rata,113037.0735981518,112655.48546722368,130943.0,0.8603398842796002,373620.01300286595,23,Pro-rata,backtest_3 · week 2
backtest_3,3,lp_scenario,108162.05588026217,106846.39545897259,122216.0,0.8742422879080692,363582.84932959726,18,Scenario LP,backtest_3 · week 3
backtest_3,3,pro_rata,108162.05588026217,107880.16020274749,122216.0,0.8827007936992496,358396.56602141535,25,Pro-rata,backtest_3 · week 3
backtest_3,4,lp_scenario,107684.37561670413,107112.21311675936,124588.0,0.8597313795611083,364839.8796950813,24,Scenario LP,backtest_3 · week 4
backtest_3,4,pro_rata,107684.37561670413,107356.5495029065,124588.0,0.8616925346173508,356109.10445225076,25,Pro-rata,backtest_3 · week 4
holdout,1,lp_scenario,106946.13138076982,106436.86678620745,125232.0,0.849917487432984,362306.7975768098,24,Scenario LP,holdout · week 1
holdout,1,pro_rata,106946.13138076982,106946.13138076982,125232.0,0.8539840566370401,355097.56969608256,28,Pro-rata,holdout · week 1
holdout,2,lp_scenario,113093.8890890687,112297.74295224069,131127.0,0.8564044243537997,381965.3251127808,22,Scenario LP,holdout · week 2
holdout,2,pro_rata,113093.8890890687,113093.88908906869,131127.0,0.8624759896060208,375331.91905574204,28,Pro-rata,holdout · week 2
holdout,3,lp_scenario,111781.50545646339,111170.26954479293,133788.0,0.8309435042365005,378521.49102528166,25,Scenario LP,holdout · week 3
holdout,3,pro_rata,111781.50545646339,111781.5054564634,133788.0,0.8355121943407735,371232.8231967178,28,Pro-rata,holdout · week 3
holdout,4,lp_scenario,110026.3568500565,108660.16288575347,131023.0,0.8293212862303067,369496.4173385073,23,Scenario LP,holdout · week 4
holdout,4,pro_rata,110026.3568500565,110026.3568500565,131023.0,0.839748417072243,365545.45096512913,28,Pro-rata,holdout · week 4
