date,window,fold,level,level_order,node,series_id,method,method_label,is_served,actual,forecast,lower_80,upper_80,lower_95,upper_95
2016-02-01,backtest,backtest_1,department,5,dept: FOODS_1 · store: CA_1,department:dept_id=FOODS_1|store_id=CA_1,base,SARIMA base (incoherent),False,314.0,295.88478306266495,,,,
2016-02-02,backtest,backtest_1,department,5,dept: FOODS_1 · store: CA_1,department:dept_id=FOODS_1|store_id=CA_1,base,SARIMA base (incoherent),False,276.0,273.4487255790962,,,,
2016-02-03,backtest,backtest_1,department,5,dept: FOODS_1 · store: CA_1,department:dept_id=FOODS_1|store_id=CA_1,base,SARIMA base (incoherent),False,220.0,274.78066355412466,,,,
2016-02-04,backtest,backtest_1,department,5,dept: FOODS_1 · store: CA_1,department:dept_id=FOODS_1|store_id=CA_1,base,SARIMA base (incoherent),False,313.0,291.80517120576553,,,,
2016-02-05,backtest,backtest_1,department,5,dept: FOODS_1 · store: CA_1,department:dept_id=FOODS_1|store_id=CA_1,base,SARIMA base (incoherent),False,339.0,302.8569211702748,,,,
2016-02-06,backtest,backtest_1,department,5,dept: FOODS_1 · store: CA_1,department:dept_id=FOODS_1|store_id=CA_1,base,SARIMA base (incoherent),False,481.0,379.84112900045955,,,,
2016-02-07,backtest,backtest_1,department,5,dept: FOODS_1 · store: CA_1,department:dept_id=FOODS_1|store_id=CA_1,base,SARIMA base (incoherent),False,249.0,336.86057649414795,,,,
2016-02-08,backtest,backtest_1,department,5,dept: FOODS_1 · store: CA_1,department:dept_id=FOODS_1|store_id=CA_1,base,SARIMA base (incoherent),False,266.0,282.66238167664085,,,,
2016-02-09,backtest,backtest_1,department,5,dept: FOODS_1 · store: CA_1,department:dept_id=FOODS_1|store_id=CA_1,base,SARIMA base (incoherent),False,281.0,267.325610795626,,,,
2016-02-10,backtest,backtest_1,department,5,dept: FOODS_1 · store: CA_1,department:dept_id=FOODS_1|store_id=CA_1,base,SARIMA base (incoherent),False,280.0,271.8239620536025,,,,
2016-02-11,backtest,backtest_1,department,5,dept: FOODS_1 · store: CA_1,department:dept_id=FOODS_1|store_id=CA_1,base,SARIMA base (incoherent),False,440.0,290.2607486622336,,,,
2016-02-12,backtest,backtest_1,department,5,dept: FOODS_1 · store: CA_1,department:dept_id=FOODS_1|store_id=CA_1,base,SARIMA base (incoherent),False,455.0,301.9424011928731,,,,
2016-02-13,backtest,backtest_1,department,5,dept: FOODS_1 · store: CA_1,department:dept_id=FOODS_1|store_id=CA_1,base,SARIMA base (incoherent),False,520.0,379.20755723152143,,,,
2016-02-14,backtest,backtest_1,department,5,dept: FOODS_1 · store: CA_1,department:dept_id=FOODS_1|store_id=CA_1,base,SARIMA base (incoherent),False,401.0,336.35231282853107,,,,
2016-02-15,backtest,backtest_1,department,5,dept: FOODS_1 · store: CA_1,department:dept_id=FOODS_1|store_id=CA_1,base,SARIMA base (incoherent),False,246.0,282.2100077454481,,,,
2016-02-16,backtest,backtest_1,department,5,dept: FOODS_1 · store: CA_1,department:dept_id=FOODS_1|store_id=CA_1,base,SARIMA base (incoherent),False,238.0,266.8981647209023,,,,
2016-02-17,backtest,backtest_1,department,5,dept: FOODS_1 · store: CA_1,department:dept_id=FOODS_1|store_id=CA_1,base,SARIMA base (incoherent),False,252.0,271.40763426445557,,,,
2016-02-18,backtest,backtest_1,department,5,dept: FOODS_1 · store: CA_1,department:dept_id=FOODS_1|store_id=CA_1,base,SARIMA base (incoherent),False,244.0,289.84937983433235,,,,
